שם בעברית,שם באנגלית,כשר\לא,קטגוריות
תפארת יהונתן על תורה,Tiferet Yehonatan on Torah,,תנך,אחרונים על התנך
נשים בדיון הלכתי,Jewish Legal Writings by Women,,הלכה,ספרות מודרנית
