שם בעברית,שם באנגלית,כשר\לא,קטגוריות
עמנואל הרומי על משלי,Immanuel of Rome on Proverbs,,תנך,ראשונים על התנ״ך,עמנואל הרומי
פרי מגדים על אורח חיים,Peri Megadim on Orach Chayim,,הלכה,שולחן ערוך
טעבעלה באנדי על הגדה של פסח,Tevele Bondi on Pesach Haggadah,,סדר התפילה,הגדה,מפרשים
קהילה של אמונה,Community of Faith,,מחשבת ישראל,ספרות מודרנית
אמונה בעתיד,Faith in the Future,,מחשבת ישראל,ספרות מודרנית
"רדיקלית אז, רדיקלית עכשיו","Radical Then, Radical Now",,מחשבת ישראל,ספרות מודרנית,הרב לורד יונתן זקס
הבית שאנו בונים ביחד; בנייה מחדש של החברה,The Home We Build Together; Recreating Society,,מחשבת ישראל,ספרות מודרנית,הרב לורד יונתן זקס
קונטרס ההתפעלות,Kuntres HaHitpa'alut,,חסידות,חבד
