שם הקובץ,נתיב הקובץ,תיקיית המקור,מספר שורות
מקדש דוד חלק ג.txt,אוצריא/הלכה/מערכות ועניינים/מקדש דוד חלק ג.txt,Dicta,737
בית האוצר חלק ב.txt,אוצריא/הלכה/מערכות ועניינים/בית האוצר חלק ב.txt,Dicta,418
מקדש דוד חלק ד.txt,אוצריא/הלכה/מערכות ועניינים/מקדש דוד חלק ד.txt,Dicta,671
אתוון דאורייתא.txt,אוצריא/הלכה/מערכות ועניינים/אתוון דאורייתא.txt,Dicta,540
שערי ישר חלק א - ב.txt,אוצריא/הלכה/מערכות ועניינים/שערי ישר חלק א - ב.txt,Dicta,1680
מקדש דוד חלק ב.txt,אוצריא/הלכה/מערכות ועניינים/מקדש דוד חלק ב.txt,Dicta,757
‏‏לקח טוב.txt,אוצריא/הלכה/מערכות ועניינים/‏‏לקח טוב.txt,Dicta,784
מקדש דוד חלק א.txt,אוצריא/הלכה/מערכות ועניינים/מקדש דוד חלק א.txt,Dicta,807
אפיקי ים חלק א.txt,אוצריא/הלכה/מערכות ועניינים/אפיקי ים חלק א.txt,Dicta,1247
אמרי משה.txt,אוצריא/הלכה/מערכות ועניינים/אמרי משה.txt,Dicta,1758
בית האוצר חלק א.txt,אוצריא/הלכה/מערכות ועניינים/בית האוצר חלק א.txt,Dicta,1819
בית יצחק - דיני ברירה.txt,אוצריא/הלכה/מערכות ועניינים/בית יצחק/בית יצחק - דיני ברירה.txt,Dicta,595
בית יצחק - שערי קבוע וספקות.txt,אוצריא/הלכה/מערכות ועניינים/בית יצחק/בית יצחק - שערי קבוע וספקות.txt,Dicta,1306
נאות יעקב חלק ב.txt,אוצריא/הלכה/אחרונים/נאות יעקב חלק ב.txt,Dicta,598
דרך החיים.txt,אוצריא/הלכה/אחרונים/דרך החיים.txt,Dicta,2307
מחנה ישראל.txt,אוצריא/הלכה/אחרונים/מחנה ישראל.txt,Dicta,564
קונטרס הספקות.txt,אוצריא/הלכה/שולחן ערוך/מפרשים/קונטרס הספקות.txt,Dicta,278
