שם בעברית,שם באנגלית,כשר\לא,קטגוריות
מאירי על תהלים,Meiri on Psalms,,תנך,ראשונים על התנ״ך
עוד יוסף חי; דרשות,Od Yosef Chai; Derashot,,תנך,אחרונים על התנ״ך
עוד יוסף חי; הלכות,Od Yosef Chai; Halakhot,,הלכה,אחרונים
עומדות שוב בסיני; יהדות מנקודת מבט פמיניסטית,Standing Again at Sinai; Judaism from a Feminist Perspective,,מחשבת ישראל,ספרות מודרנית
יערות דבש חלק א,Ya'arot Devash I,,ספרי מוסר,אחרונים
יערות דבש חלק ב,Ya'arot Devash II,,ספרי מוסר,אחרונים
