שם בעברית,שם באנגלית,כשר\לא,קטגוריות
כלי חמדה על התורה,Keli Chemdah on Torah,,תנך,אחרונים על התנ״ך
חומש קהת; ביאורי חסידות,The Kehot Chumash; A Chasidic Commentary,,תנך,פירושים מודרניים על התנ״ך
