שם הקובץ,נתיב הקובץ,תיקיית המקור
שב שמעתתא.txt,אוצריא/הלכה/אחרונים/שב שמעתתא.txt,sefaria
שמלה חדשה.txt,אוצריא/הלכה/אחרונים/שמלה חדשה.txt,sefaria
גבורת אנשים.txt,אוצריא/הלכה/אחרונים/גבורת אנשים.txt,sefaria
מאמר שפוני טמוני חול.txt,אוצריא/הלכה/אחרונים/מאמר שפוני טמוני חול.txt,sefaria
שבת הארץ.txt,אוצריא/הלכה/אחרונים/שבת הארץ.txt,sefaria
הלכות תלמוד תורה.txt,אוצריא/הלכה/אחרונים/הלכות תלמוד תורה.txt,sefaria
חפץ חיים.txt,אוצריא/הלכה/אחרונים/חפץ חיים.txt,sefaria
עין התכלת.txt,אוצריא/הלכה/אחרונים/עין התכלת.txt,sefaria
פתיל תכלת.txt,אוצריא/הלכה/אחרונים/פתיל תכלת.txt,sefaria
נהר מצרים.txt,אוצריא/הלכה/אחרונים/נהר מצרים.txt,sefaria
קול יעקב על שולחן ערוך.txt,אוצריא/הלכה/אחרונים/קול יעקב על שולחן ערוך.txt,sefaria
טעמי המנהגים.txt,אוצריא/הלכה/אחרונים/טעמי המנהגים.txt,sefaria
סדר היום.txt,אוצריא/הלכה/אחרונים/סדר היום.txt,sefaria
שערי אפרים.txt,אוצריא/הלכה/אחרונים/שערי אפרים.txt,sefaria
אהבת חסד.txt,אוצריא/הלכה/אחרונים/אהבת חסד.txt,sefaria
מטה אפרים.txt,אוצריא/הלכה/אחרונים/מטה אפרים.txt,sefaria
"חזון איש, זרעים.txt","אוצריא/הלכה/אחרונים/חזון איש/חזון איש, זרעים.txt",sefaria
"חזון איש, אורח חיים מועד.txt","אוצריא/הלכה/אחרונים/חזון איש/חזון איש, אורח חיים מועד.txt",sefaria
"חזון איש, יורה דעה.txt","אוצריא/הלכה/אחרונים/חזון איש/חזון איש, יורה דעה.txt",sefaria
קשר גודל.txt,אוצריא/הלכה/אחרונים/עבודת הקודש - חידא/קשר גודל.txt,sefaria
מורה באצבע.txt,אוצריא/הלכה/אחרונים/עבודת הקודש - חידא/מורה באצבע.txt,sefaria
סנסן ליאיר.txt,אוצריא/הלכה/אחרונים/עבודת הקודש - חידא/סנסן ליאיר.txt,sefaria
כף אחת.txt,אוצריא/הלכה/אחרונים/עבודת הקודש - חידא/כף אחת.txt,sefaria
צפורן שמיר.txt,אוצריא/הלכה/אחרונים/עבודת הקודש - חידא/צפורן שמיר.txt,sefaria
יוסף בסדר.txt,אוצריא/הלכה/אחרונים/עבודת הקודש - חידא/יוסף בסדר.txt,sefaria
שומר ישראל.txt,אוצריא/הלכה/אחרונים/עבודת הקודש - חידא/שומר ישראל.txt,sefaria
"משנה תורה, הלכות אישות.txt","אוצריא/הלכה/משנה תורה/ספר נשים/משנה תורה, הלכות אישות.txt",sefaria
"משנה תורה, הלכות סוטה.txt","אוצריא/הלכה/משנה תורה/ספר נשים/משנה תורה, הלכות סוטה.txt",sefaria
"משנה תורה, הלכות גירושין.txt","אוצריא/הלכה/משנה תורה/ספר נשים/משנה תורה, הלכות גירושין.txt",sefaria
"משנה תורה, הלכות יבום וחליצה.txt","אוצריא/הלכה/משנה תורה/ספר נשים/משנה תורה, הלכות יבום וחליצה.txt",sefaria
"משנה תורה, הלכות נערה בתולה.txt","אוצריא/הלכה/משנה תורה/ספר נשים/משנה תורה, הלכות נערה בתולה.txt",sefaria
"משנה תורה, הלכות ערכים וחרמין.txt","אוצריא/הלכה/משנה תורה/ספר הפלאה/משנה תורה, הלכות ערכים וחרמין.txt",sefaria
"משנה תורה, הלכות נדרים.txt","אוצריא/הלכה/משנה תורה/ספר הפלאה/משנה תורה, הלכות נדרים.txt",sefaria
"משנה תורה, הלכות נזירות.txt","אוצריא/הלכה/משנה תורה/ספר הפלאה/משנה תורה, הלכות נזירות.txt",sefaria
"משנה תורה, הלכות שבועות.txt","אוצריא/הלכה/משנה תורה/ספר הפלאה/משנה תורה, הלכות שבועות.txt",sefaria
"משנה תורה, הלכות טוען ונטען.txt","אוצריא/הלכה/משנה תורה/ספר משפטים/משנה תורה, הלכות טוען ונטען.txt",sefaria
"משנה תורה, הלכות שאלה ופיקדון.txt","אוצריא/הלכה/משנה תורה/ספר משפטים/משנה תורה, הלכות שאלה ופיקדון.txt",sefaria
"משנה תורה, הלכות שכירות.txt","אוצריא/הלכה/משנה תורה/ספר משפטים/משנה תורה, הלכות שכירות.txt",sefaria
"משנה תורה, הלכות נחלות.txt","אוצריא/הלכה/משנה תורה/ספר משפטים/משנה תורה, הלכות נחלות.txt",sefaria
"משנה תורה, הלכות מלווה ולווה.txt","אוצריא/הלכה/משנה תורה/ספר משפטים/משנה תורה, הלכות מלווה ולווה.txt",sefaria
"משנה תורה, הלכות עבודה זרה וחוקות הגויים.txt","אוצריא/הלכה/משנה תורה/ספר מדע/משנה תורה, הלכות עבודה זרה וחוקות הגויים.txt",sefaria
"משנה תורה, הלכות יסודי התורה.txt","אוצריא/הלכה/משנה תורה/ספר מדע/משנה תורה, הלכות יסודי התורה.txt",sefaria
"משנה תורה, הלכות תלמוד תורה.txt","אוצריא/הלכה/משנה תורה/ספר מדע/משנה תורה, הלכות תלמוד תורה.txt",sefaria
"משנה תורה, הלכות דעות.txt","אוצריא/הלכה/משנה תורה/ספר מדע/משנה תורה, הלכות דעות.txt",sefaria
"משנה תורה, הלכות תשובה.txt","אוצריא/הלכה/משנה תורה/ספר מדע/משנה תורה, הלכות תשובה.txt",sefaria
"משנה תורה, מצוות לא תעשה.txt","אוצריא/הלכה/משנה תורה/הקדמה/משנה תורה, מצוות לא תעשה.txt",sefaria
"משנה תורה, מצוות עשה.txt","אוצריא/הלכה/משנה תורה/הקדמה/משנה תורה, מצוות עשה.txt",sefaria
"משנה תורה, תוכן החיבור.txt","אוצריא/הלכה/משנה תורה/הקדמה/משנה תורה, תוכן החיבור.txt",sefaria
"משנה תורה, מסירת תורה שבעל פה.txt","אוצריא/הלכה/משנה תורה/הקדמה/משנה תורה, מסירת תורה שבעל פה.txt",sefaria
"משנה תורה, הלכות שחיטה.txt","אוצריא/הלכה/משנה תורה/ספר קדושה/משנה תורה, הלכות שחיטה.txt",sefaria
"משנה תורה, הלכות מאכלות אסורות.txt","אוצריא/הלכה/משנה תורה/ספר קדושה/משנה תורה, הלכות מאכלות אסורות.txt",sefaria
"משנה תורה, הלכות איסורי ביאה.txt","אוצריא/הלכה/משנה תורה/ספר קדושה/משנה תורה, הלכות איסורי ביאה.txt",sefaria
"משנה תורה, הלכות תרומות.txt","אוצריא/הלכה/משנה תורה/ספר זרעים/משנה תורה, הלכות תרומות.txt",sefaria
"משנה תורה, הלכות מעשרות.txt","אוצריא/הלכה/משנה תורה/ספר זרעים/משנה תורה, הלכות מעשרות.txt",sefaria
"משנה תורה, הלכות מתנות עניים.txt","אוצריא/הלכה/משנה תורה/ספר זרעים/משנה תורה, הלכות מתנות עניים.txt",sefaria
"משנה תורה, הלכות כלאים.txt","אוצריא/הלכה/משנה תורה/ספר זרעים/משנה תורה, הלכות כלאים.txt",sefaria
"משנה תורה, הלכות ביכורים ושאר מתנות כהונה שבגבולין.txt","אוצריא/הלכה/משנה תורה/ספר זרעים/משנה תורה, הלכות ביכורים ושאר מתנות כהונה שבגבולין.txt",sefaria
"משנה תורה, הלכות שמיטה ויובל.txt","אוצריא/הלכה/משנה תורה/ספר זרעים/משנה תורה, הלכות שמיטה ויובל.txt",sefaria
"משנה תורה, הלכות מעשר שני ונטע רבעי.txt","אוצריא/הלכה/משנה תורה/ספר זרעים/משנה תורה, הלכות מעשר שני ונטע רבעי.txt",sefaria
"משנה תורה, הלכות גזילה ואבידה.txt","אוצריא/הלכה/משנה תורה/ספר נזיקין/משנה תורה, הלכות גזילה ואבידה.txt",sefaria
"משנה תורה, הלכות חובל ומזיק.txt","אוצריא/הלכה/משנה תורה/ספר נזיקין/משנה תורה, הלכות חובל ומזיק.txt",sefaria
"משנה תורה, הלכות גניבה.txt","אוצריא/הלכה/משנה תורה/ספר נזיקין/משנה תורה, הלכות גניבה.txt",sefaria
"משנה תורה, הלכות נזקי ממון.txt","אוצריא/הלכה/משנה תורה/ספר נזיקין/משנה תורה, הלכות נזקי ממון.txt",sefaria
"משנה תורה, הלכות רוצח ושמירת נפש.txt","אוצריא/הלכה/משנה תורה/ספר נזיקין/משנה תורה, הלכות רוצח ושמירת נפש.txt",sefaria
"משנה תורה, הלכות תפילה וברכת כהנים.txt","אוצריא/הלכה/משנה תורה/ספר אהבה/משנה תורה, הלכות תפילה וברכת כהנים.txt",sefaria
"משנה תורה, סדר התפילה.txt","אוצריא/הלכה/משנה תורה/ספר אהבה/משנה תורה, סדר התפילה.txt",sefaria
"משנה תורה, הלכות תפילין ומזוזה וספר תורה.txt","אוצריא/הלכה/משנה תורה/ספר אהבה/משנה תורה, הלכות תפילין ומזוזה וספר תורה.txt",sefaria
"משנה תורה, הלכות ברכות.txt","אוצריא/הלכה/משנה תורה/ספר אהבה/משנה תורה, הלכות ברכות.txt",sefaria
"משנה תורה, הלכות קריאת שמע.txt","אוצריא/הלכה/משנה תורה/ספר אהבה/משנה תורה, הלכות קריאת שמע.txt",sefaria
"משנה תורה, הלכות מילה.txt","אוצריא/הלכה/משנה תורה/ספר אהבה/משנה תורה, הלכות מילה.txt",sefaria
"משנה תורה, הלכות ציצית.txt","אוצריא/הלכה/משנה תורה/ספר אהבה/משנה תורה, הלכות ציצית.txt",sefaria
"משנה תורה, הלכות מכירה.txt","אוצריא/הלכה/משנה תורה/ספר קניין/משנה תורה, הלכות מכירה.txt",sefaria
"משנה תורה, הלכות שלוחין ושותפין.txt","אוצריא/הלכה/משנה תורה/ספר קניין/משנה תורה, הלכות שלוחין ושותפין.txt",sefaria
"משנה תורה, הלכות עבדים.txt","אוצריא/הלכה/משנה תורה/ספר קניין/משנה תורה, הלכות עבדים.txt",sefaria
"משנה תורה, הלכות שכנים.txt","אוצריא/הלכה/משנה תורה/ספר קניין/משנה תורה, הלכות שכנים.txt",sefaria
"משנה תורה, הלכות זכייה ומתנה.txt","אוצריא/הלכה/משנה תורה/ספר קניין/משנה תורה, הלכות זכייה ומתנה.txt",sefaria
"משנה תורה, הלכות בכורות.txt","אוצריא/הלכה/משנה תורה/ספר קורבנות/משנה תורה, הלכות בכורות.txt",sefaria
"משנה תורה, הלכות קרבן פסח.txt","אוצריא/הלכה/משנה תורה/ספר קורבנות/משנה תורה, הלכות קרבן פסח.txt",sefaria
"משנה תורה, הלכות תמורה.txt","אוצריא/הלכה/משנה תורה/ספר קורבנות/משנה תורה, הלכות תמורה.txt",sefaria
"משנה תורה, הלכות מחוסרי כפרה.txt","אוצריא/הלכה/משנה תורה/ספר קורבנות/משנה תורה, הלכות מחוסרי כפרה.txt",sefaria
"משנה תורה, הלכות שגגות.txt","אוצריא/הלכה/משנה תורה/ספר קורבנות/משנה תורה, הלכות שגגות.txt",sefaria
"משנה תורה, הלכות חגיגה.txt","אוצריא/הלכה/משנה תורה/ספר קורבנות/משנה תורה, הלכות חגיגה.txt",sefaria
"משנה תורה, הלכות מטמאי משכב ומושב.txt","אוצריא/הלכה/משנה תורה/ספר טהרה/משנה תורה, הלכות מטמאי משכב ומושב.txt",sefaria
"משנה תורה, הלכות מקואות.txt","אוצריא/הלכה/משנה תורה/ספר טהרה/משנה תורה, הלכות מקואות.txt",sefaria
"משנה תורה, הלכות טומאת אוכלים.txt","אוצריא/הלכה/משנה תורה/ספר טהרה/משנה תורה, הלכות טומאת אוכלים.txt",sefaria
"משנה תורה, הלכות טומאת צרעת.txt","אוצריא/הלכה/משנה תורה/ספר טהרה/משנה תורה, הלכות טומאת צרעת.txt",sefaria
"משנה תורה, הלכות כלים.txt","אוצריא/הלכה/משנה תורה/ספר טהרה/משנה תורה, הלכות כלים.txt",sefaria
"משנה תורה, הלכות טומאת מת.txt","אוצריא/הלכה/משנה תורה/ספר טהרה/משנה תורה, הלכות טומאת מת.txt",sefaria
"משנה תורה, הלכות פרה אדומה.txt","אוצריא/הלכה/משנה תורה/ספר טהרה/משנה תורה, הלכות פרה אדומה.txt",sefaria
"משנה תורה, הלכות שאר אבות הטומאות.txt","אוצריא/הלכה/משנה תורה/ספר טהרה/משנה תורה, הלכות שאר אבות הטומאות.txt",sefaria
"משנה תורה, הלכות תמידים ומוספין.txt","אוצריא/הלכה/משנה תורה/ספר עבודה/משנה תורה, הלכות תמידים ומוספין.txt",sefaria
"משנה תורה, הלכות מעילה.txt","אוצריא/הלכה/משנה תורה/ספר עבודה/משנה תורה, הלכות מעילה.txt",sefaria
"משנה תורה, הלכות בית הבחירה.txt","אוצריא/הלכה/משנה תורה/ספר עבודה/משנה תורה, הלכות בית הבחירה.txt",sefaria
"משנה תורה, הלכות פסולי המוקדשין.txt","אוצריא/הלכה/משנה תורה/ספר עבודה/משנה תורה, הלכות פסולי המוקדשין.txt",sefaria
"משנה תורה, הלכות ביאת מקדש.txt","אוצריא/הלכה/משנה תורה/ספר עבודה/משנה תורה, הלכות ביאת מקדש.txt",sefaria
"משנה תורה, הלכות עבודת יום הכפורים.txt","אוצריא/הלכה/משנה תורה/ספר עבודה/משנה תורה, הלכות עבודת יום הכפורים.txt",sefaria
"משנה תורה, הלכות איסורי המזבח.txt","אוצריא/הלכה/משנה תורה/ספר עבודה/משנה תורה, הלכות איסורי המזבח.txt",sefaria
"משנה תורה, הלכות מעשה הקרבנות.txt","אוצריא/הלכה/משנה תורה/ספר עבודה/משנה תורה, הלכות מעשה הקרבנות.txt",sefaria
"משנה תורה, הלכות כלי המקדש והעובדין בו.txt","אוצריא/הלכה/משנה תורה/ספר עבודה/משנה תורה, הלכות כלי המקדש והעובדין בו.txt",sefaria
חדושי רבנו חיים הלוי.docx,אוצריא/הלכה/משנה תורה/מפרשים/חדושי רבנו חיים הלוי.docx,sefaria
"חידושי רבי עקיבא איגר על משנה תורה, הלכות תלמוד תורה.txt","אוצריא/הלכה/משנה תורה/מפרשים/חידושי רבי עקיבא איגר/ספר מדע/חידושי רבי עקיבא איגר על משנה תורה, הלכות תלמוד תורה.txt",sefaria
"חידושי רבי עקיבא איגר על משנה תורה, הלכות יסודי התורה.txt","אוצריא/הלכה/משנה תורה/מפרשים/חידושי רבי עקיבא איגר/ספר מדע/חידושי רבי עקיבא איגר על משנה תורה, הלכות יסודי התורה.txt",sefaria
"חידושי רבי עקיבא איגר על משנה תורה, הלכות תשובה.txt","אוצריא/הלכה/משנה תורה/מפרשים/חידושי רבי עקיבא איגר/ספר מדע/חידושי רבי עקיבא איגר על משנה תורה, הלכות תשובה.txt",sefaria
"חידושי רבי עקיבא איגר על משנה תורה, הלכות עבודה זרה וחוקות הגויים.txt","אוצריא/הלכה/משנה תורה/מפרשים/חידושי רבי עקיבא איגר/ספר מדע/חידושי רבי עקיבא איגר על משנה תורה, הלכות עבודה זרה וחוקות הגויים.txt",sefaria
"חידושי רבי עקיבא איגר על משנה תורה, הלכות דעות.txt","אוצריא/הלכה/משנה תורה/מפרשים/חידושי רבי עקיבא איגר/ספר מדע/חידושי רבי עקיבא איגר על משנה תורה, הלכות דעות.txt",sefaria
"חידושי רבי עקיבא איגר על משנה תורה, הלכות קריאת שמע.txt","אוצריא/הלכה/משנה תורה/מפרשים/חידושי רבי עקיבא איגר/ספר אהבה/חידושי רבי עקיבא איגר על משנה תורה, הלכות קריאת שמע.txt",sefaria
"חידושי רבי עקיבא איגר על משנה תורה, הלכות ציצית.txt","אוצריא/הלכה/משנה תורה/מפרשים/חידושי רבי עקיבא איגר/ספר אהבה/חידושי רבי עקיבא איגר על משנה תורה, הלכות ציצית.txt",sefaria
"חידושי רבי עקיבא איגר על משנה תורה, הלכות תפילה וברכת כהנים.txt","אוצריא/הלכה/משנה תורה/מפרשים/חידושי רבי עקיבא איגר/ספר אהבה/חידושי רבי עקיבא איגר על משנה תורה, הלכות תפילה וברכת כהנים.txt",sefaria
"חידושי רבי עקיבא איגר על משנה תורה, הלכות מילה.txt","אוצריא/הלכה/משנה תורה/מפרשים/חידושי רבי עקיבא איגר/ספר אהבה/חידושי רבי עקיבא איגר על משנה תורה, הלכות מילה.txt",sefaria
"חידושי רבי עקיבא איגר על משנה תורה, הלכות תפילין ומזוזה וספר תורה.txt","אוצריא/הלכה/משנה תורה/מפרשים/חידושי רבי עקיבא איגר/ספר אהבה/חידושי רבי עקיבא איגר על משנה תורה, הלכות תפילין ומזוזה וספר תורה.txt",sefaria
"חידושי רבי עקיבא איגר על משנה תורה, הלכות ברכות.txt","אוצריא/הלכה/משנה תורה/מפרשים/חידושי רבי עקיבא איגר/ספר אהבה/חידושי רבי עקיבא איגר על משנה תורה, הלכות ברכות.txt",sefaria
"חידושי רבי עקיבא איגר על משנה תורה, הלכות קרבן פסח.txt","אוצריא/הלכה/משנה תורה/מפרשים/חידושי רבי עקיבא איגר/ספר קורבנות/חידושי רבי עקיבא איגר על משנה תורה, הלכות קרבן פסח.txt",sefaria
"חידושי רבי עקיבא איגר על משנה תורה, הלכות חמץ ומצה.txt","אוצריא/הלכה/משנה תורה/מפרשים/חידושי רבי עקיבא איגר/ספר זמנים/חידושי רבי עקיבא איגר על משנה תורה, הלכות חמץ ומצה.txt",sefaria
"חידושי רבי עקיבא איגר על משנה תורה, הלכות שבת.txt","אוצריא/הלכה/משנה תורה/מפרשים/חידושי רבי עקיבא איגר/ספר זמנים/חידושי רבי עקיבא איגר על משנה תורה, הלכות שבת.txt",sefaria
"מגדל עוז על משנה תורה, הלכות יבום וחליצה.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר נשים/מגדל עוז על משנה תורה, הלכות יבום וחליצה.txt",sefaria
"מגדל עוז על משנה תורה, הלכות גירושין.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר נשים/מגדל עוז על משנה תורה, הלכות גירושין.txt",sefaria
"מגדל עוז על משנה תורה, הלכות נערה בתולה.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר נשים/מגדל עוז על משנה תורה, הלכות נערה בתולה.txt",sefaria
"מגדל עוז על משנה תורה, הלכות אישות.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר נשים/מגדל עוז על משנה תורה, הלכות אישות.txt",sefaria
"מגדל עוז על משנה תורה, הלכות סוטה.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר נשים/מגדל עוז על משנה תורה, הלכות סוטה.txt",sefaria
"מגדל עוז על משנה תורה, הלכות ערכים וחרמין.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר הפלאה/מגדל עוז על משנה תורה, הלכות ערכים וחרמין.txt",sefaria
"מגדל עוז על משנה תורה, הלכות נדרים.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר הפלאה/מגדל עוז על משנה תורה, הלכות נדרים.txt",sefaria
"מגדל עוז על משנה תורה, הלכות נזירות.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר הפלאה/מגדל עוז על משנה תורה, הלכות נזירות.txt",sefaria
"מגדל עוז על משנה תורה, הלכות שבועות.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר הפלאה/מגדל עוז על משנה תורה, הלכות שבועות.txt",sefaria
"מגדל עוז על משנה תורה, הלכות נחלות.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר משפטים/מגדל עוז על משנה תורה, הלכות נחלות.txt",sefaria
"מגדל עוז על משנה תורה, הלכות שאלה ופיקדון.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר משפטים/מגדל עוז על משנה תורה, הלכות שאלה ופיקדון.txt",sefaria
"מגדל עוז על משנה תורה, הלכות שכירות.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר משפטים/מגדל עוז על משנה תורה, הלכות שכירות.txt",sefaria
"מגדל עוז על משנה תורה, הלכות מלווה ולווה.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר משפטים/מגדל עוז על משנה תורה, הלכות מלווה ולווה.txt",sefaria
"מגדל עוז על משנה תורה, הלכות טוען ונטען.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר משפטים/מגדל עוז על משנה תורה, הלכות טוען ונטען.txt",sefaria
"מגדל עוז על משנה תורה, הלכות עבודה זרה וחוקות הגויים.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר מדע/מגדל עוז על משנה תורה, הלכות עבודה זרה וחוקות הגויים.txt",sefaria
"מגדל עוז על משנה תורה, הלכות תלמוד תורה.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר מדע/מגדל עוז על משנה תורה, הלכות תלמוד תורה.txt",sefaria
"מגדל עוז על משנה תורה, הלכות דעות.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר מדע/מגדל עוז על משנה תורה, הלכות דעות.txt",sefaria
"מגדל עוז על משנה תורה, הלכות יסודי התורה.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר מדע/מגדל עוז על משנה תורה, הלכות יסודי התורה.txt",sefaria
"מגדל עוז על משנה תורה, הלכות תשובה.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר מדע/מגדל עוז על משנה תורה, הלכות תשובה.txt",sefaria
"מגדל עוז על משנה תורה, הלכות איסורי ביאה.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר קדושה/מגדל עוז על משנה תורה, הלכות איסורי ביאה.txt",sefaria
"מגדל עוז על משנה תורה, הלכות מאכלות אסורות.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר קדושה/מגדל עוז על משנה תורה, הלכות מאכלות אסורות.txt",sefaria
"מגדל עוז על משנה תורה, הלכות שחיטה.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר קדושה/מגדל עוז על משנה תורה, הלכות שחיטה.txt",sefaria
"מגדל עוז על משנה תורה, הלכות חובל ומזיק.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר נזיקין/מגדל עוז על משנה תורה, הלכות חובל ומזיק.txt",sefaria
"מגדל עוז על משנה תורה, הלכות רוצח ושמירת נפש.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר נזיקין/מגדל עוז על משנה תורה, הלכות רוצח ושמירת נפש.txt",sefaria
"מגדל עוז על משנה תורה, הלכות גזילה ואבידה.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר נזיקין/מגדל עוז על משנה תורה, הלכות גזילה ואבידה.txt",sefaria
"מגדל עוז על משנה תורה, הלכות נזקי ממון.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר נזיקין/מגדל עוז על משנה תורה, הלכות נזקי ממון.txt",sefaria
"מגדל עוז על משנה תורה, הלכות גניבה.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר נזיקין/מגדל עוז על משנה תורה, הלכות גניבה.txt",sefaria
"מגדל עוז על משנה תורה, הלכות מילה.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר אהבה/מגדל עוז על משנה תורה, הלכות מילה.txt",sefaria
"מגדל עוז על משנה תורה, הלכות ברכות.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר אהבה/מגדל עוז על משנה תורה, הלכות ברכות.txt",sefaria
"מגדל עוז על משנה תורה, הלכות תפילה וברכת כהנים.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר אהבה/מגדל עוז על משנה תורה, הלכות תפילה וברכת כהנים.txt",sefaria
"מגדל עוז על משנה תורה, הלכות ציצית.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר אהבה/מגדל עוז על משנה תורה, הלכות ציצית.txt",sefaria
"מגדל עוז על משנה תורה, הלכות תפילין ומזוזה וספר תורה.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר אהבה/מגדל עוז על משנה תורה, הלכות תפילין ומזוזה וספר תורה.txt",sefaria
"מגדל עוז על משנה תורה, הלכות קריאת שמע.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר אהבה/מגדל עוז על משנה תורה, הלכות קריאת שמע.txt",sefaria
"מגדל עוז על משנה תורה, הלכות זכייה ומתנה.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר קניין/מגדל עוז על משנה תורה, הלכות זכייה ומתנה.txt",sefaria
"מגדל עוז על משנה תורה, הלכות שכנים.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר קניין/מגדל עוז על משנה תורה, הלכות שכנים.txt",sefaria
"מגדל עוז על משנה תורה, הלכות שלוחין ושותפין.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר קניין/מגדל עוז על משנה תורה, הלכות שלוחין ושותפין.txt",sefaria
"מגדל עוז על משנה תורה, הלכות עבדים.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר קניין/מגדל עוז על משנה תורה, הלכות עבדים.txt",sefaria
"מגדל עוז על משנה תורה, הלכות מכירה.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר קניין/מגדל עוז על משנה תורה, הלכות מכירה.txt",sefaria
"מגדל עוז על משנה תורה, הלכות שביתת יום טוב.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר זמנים/מגדל עוז על משנה תורה, הלכות שביתת יום טוב.txt",sefaria
"מגדל עוז על משנה תורה, הלכות עירובין.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר זמנים/מגדל עוז על משנה תורה, הלכות עירובין.txt",sefaria
"מגדל עוז על משנה תורה, הלכות שבת.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר זמנים/מגדל עוז על משנה תורה, הלכות שבת.txt",sefaria
"מגדל עוז על משנה תורה, הלכות חמץ ומצה.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר זמנים/מגדל עוז על משנה תורה, הלכות חמץ ומצה.txt",sefaria
"מגדל עוז על משנה תורה, הלכות שביתת עשור.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר זמנים/מגדל עוז על משנה תורה, הלכות שביתת עשור.txt",sefaria
"מגדל עוז על משנה תורה, הלכות שקלים.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר זמנים/מגדל עוז על משנה תורה, הלכות שקלים.txt",sefaria
"מגדל עוז על משנה תורה, הלכות שופר וסוכה ולולב.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר זמנים/מגדל עוז על משנה תורה, הלכות שופר וסוכה ולולב.txt",sefaria
"מגדל עוז על משנה תורה, הלכות תעניות.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר זמנים/מגדל עוז על משנה תורה, הלכות תעניות.txt",sefaria
"מגדל עוז על משנה תורה, הלכות קידוש החודש.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר זמנים/מגדל עוז על משנה תורה, הלכות קידוש החודש.txt",sefaria
"מגדל עוז על משנה תורה, הלכות מלכים ומלחמות.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר שופטים/מגדל עוז על משנה תורה, הלכות מלכים ומלחמות.txt",sefaria
"מגדל עוז על משנה תורה, הלכות עדות.txt","אוצריא/הלכה/משנה תורה/מפרשים/מגדל עוז/ספר שופטים/מגדל עוז על משנה תורה, הלכות עדות.txt",sefaria
