שם הקובץ,נתיב הקובץ,תיקיית המקור
לבוש מרדכי על מעילה.txt,אוצריא/תלמוד בבלי/אחרונים/לבוש מרדכי/סדר קדשים/לבוש מרדכי על מעילה.txt,Dicta
לבוש מרדכי על יבמות.txt,אוצריא/תלמוד בבלי/אחרונים/לבוש מרדכי/סדר נשים/לבוש מרדכי על יבמות.txt,Dicta
לבוש מרדכי על גיטין.txt,אוצריא/תלמוד בבלי/אחרונים/לבוש מרדכי/סדר נשים/לבוש מרדכי על גיטין.txt,Dicta
לבוש מרדכי בבא מציעא.txt,אוצריא/תלמוד בבלי/אחרונים/לבוש מרדכי/סדר נזיקין/לבוש מרדכי בבא מציעא.txt,Dicta
ערוך לנר על ראש השנה.txt,אוצריא/תלמוד בבלי/אחרונים/ערוך לנר/סדר מועד/ערוך לנר על ראש השנה.txt,Dicta
ערוך לנר על יבמות.txt,אוצריא/תלמוד בבלי/אחרונים/ערוך לנר/סדר נשים/ערוך לנר על יבמות.txt,Dicta
ערוך לנר על סנהדרין.txt,אוצריא/תלמוד בבלי/אחרונים/ערוך לנר/סדר נזיקין/ערוך לנר על סנהדרין.txt,Dicta
חידושי הרים על קידושין.txt,אוצריא/תלמוד בבלי/אחרונים/חידושי הרים/סדר נשים/חידושי הרים על קידושין.txt,Dicta
חידושי הרים על גיטין.txt,אוצריא/תלמוד בבלי/אחרונים/חידושי הרים/סדר נשים/חידושי הרים על גיטין.txt,Dicta
חידושי הרים על כתובות.txt,אוצריא/תלמוד בבלי/אחרונים/חידושי הרים/סדר נשים/חידושי הרים על כתובות.txt,Dicta
חידושי הרים על בבא קמא.txt,אוצריא/תלמוד בבלי/אחרונים/חידושי הרים/סדר נזיקין/חידושי הרים על בבא קמא.txt,Dicta
חידושי הרים על בבא בתרא.txt,אוצריא/תלמוד בבלי/אחרונים/חידושי הרים/סדר נזיקין/חידושי הרים על בבא בתרא.txt,Dicta
חידושי הרים על בבא מציעא.txt,אוצריא/תלמוד בבלי/אחרונים/חידושי הרים/סדר נזיקין/חידושי הרים על בבא מציעא.txt,Dicta
חידושי הרים על שבועות.txt,אוצריא/תלמוד בבלי/אחרונים/חידושי הרים/סדר נזיקין/חידושי הרים על שבועות.txt,Dicta
שפת אמת על שבת.txt,אוצריא/תלמוד בבלי/אחרונים/שפת אמת/סדר מועד/שפת אמת על שבת.txt,Dicta
שפת אמת על עירובין.txt,אוצריא/תלמוד בבלי/אחרונים/שפת אמת/סדר מועד/שפת אמת על עירובין.txt,Dicta
שפת אמת על מעילה.txt,אוצריא/תלמוד בבלי/אחרונים/שפת אמת/סדר קדשים/שפת אמת על מעילה.txt,Dicta
שפת אמת על בכורות.txt,אוצריא/תלמוד בבלי/אחרונים/שפת אמת/סדר קדשים/שפת אמת על בכורות.txt,Dicta
שפת אמת על זבחים.txt,אוצריא/תלמוד בבלי/אחרונים/שפת אמת/סדר קדשים/שפת אמת על זבחים.txt,Dicta
שפת אמת על ערכין.txt,אוצריא/תלמוד בבלי/אחרונים/שפת אמת/סדר קדשים/שפת אמת על ערכין.txt,Dicta
שפת אמת על תמורה.txt,אוצריא/תלמוד בבלי/אחרונים/שפת אמת/סדר קדשים/שפת אמת על תמורה.txt,Dicta
שפת אמת על מנחות.txt,אוצריא/תלמוד בבלי/אחרונים/שפת אמת/סדר קדשים/שפת אמת על מנחות.txt,Dicta
שפת אמת על כריתות.txt,אוצריא/תלמוד בבלי/אחרונים/שפת אמת/סדר קדשים/שפת אמת על כריתות.txt,Dicta
שפת אמת על ברכות.txt,אוצריא/תלמוד בבלי/אחרונים/שפת אמת/סדר זרעים/שפת אמת על ברכות.txt,Dicta
גבורת ארי ביצה.txt,אוצריא/תלמוד בבלי/אחרונים/גבורת ארי/גבורת ארי ביצה.txt,Dicta
‏‏גבורת ארי יומא.txt,אוצריא/תלמוד בבלי/אחרונים/גבורת ארי/‏‏גבורת ארי יומא.txt,Dicta
גבורת ארי נזיר.txt,אוצריא/תלמוד בבלי/אחרונים/גבורת ארי/גבורת ארי נזיר.txt,Dicta
גבורת ארי על תענית.txt,אוצריא/תלמוד בבלי/אחרונים/גבורת ארי/גבורת ארי על תענית.txt,Dicta
גבורת ארי מכות.txt,אוצריא/תלמוד בבלי/אחרונים/גבורת ארי/גבורת ארי מכות.txt,Dicta
