displayName,categoryEnglish,printYear,ocrFeDir,printLocationEnglish,textFileURL,category,source,author,printLocation,underwentBerelUnflagging,nikudMetegFileURL,OCRDataURL,authorEnglish,fileName,displayNameEnglish
אבני שיש,Responsa,1930,avneishayish1_EGT,Jerusalem,https://files.dicta.org.il/avneishayish1/avneishayish1__text_files.zip,"שו""ת",,רבי שאול ישועה אביטבול,ירושלים,,https://files.dicta.org.il/avneishayish1/avneishayish1__nikud_meteg_files.zip,https://files.dicta.org.il/avneishayish1/avneishayish1__ocr_data_html_files.zip,rabbi shaul yeshua abitbul,avneishayish1,Avnei Shayish
אבקת רוכל,Responsa,1859,avkatrochel_EGT,Leipzig,https://files.dicta.org.il/avkatrochel/avkatrochel__text_files.zip,"שו""ת",,רבי יוסף בן אפרים קארו,לייפציג,,https://files.dicta.org.il/avkatrochel/avkatrochel__nikud_meteg_files.zip,https://files.dicta.org.il/avkatrochel/avkatrochel__ocr_data_html_files.zip,Joseph Karo,avkatrochel,Avkat Rochel
אברהם יגל (על השולחן ערוך),Commentaries on the Rambam,1834,avrahamyagelrambam,Levorno,https://files.dicta.org.il/avrahamyagelrambam/avrahamyagelrambam__text_files.zip,מפרשים וחיבורים סביב שולחן ערוך,ספריית דיקטה,ר' אבהרם הכהן,ליוורנו,,https://files.dicta.org.il/avrahamyagelrambam/avrahamyagelrambam__nikud_meteg_files.zip,https://files.dicta.org.il/avrahamyagelrambam/avrahamyagelrambam__ocr_data_html_files.zip,Rabbi Avraham Hacohen,avrahamyagelrambam,Avraham Yagel (Rambam)
"אברהם יגל (על התנ""ך)",Commentaries on Shulchan Aruch,1834,avrahamyagelshulchanaruch,Levorno,https://files.dicta.org.il/avrahamyagelshulchanaruch/avrahamyagelshulchanaruch__text_files.zip,"מפרשי התנ""ך",ספריית דיקטה,ר' אבהרם הכהן,ליוורנו,,https://files.dicta.org.il/avrahamyagelshulchanaruch/avrahamyagelshulchanaruch__nikud_meteg_files.zip,https://files.dicta.org.il/avrahamyagelshulchanaruch/avrahamyagelshulchanaruch__ocr_data_html_files.zip,Rabbi Avraham Hacohen,avrahamyagelshulchanaruch,Avraham Yagel (shulchan aruch)
"אברהם יגל על הרמב""ם",Commentaries on the Rambam,1930,avodatlevi_EGT,,https://files.dicta.org.il/avodatlevi/avodatlevi__text_files.zip,"מפרשים וחיבורים על הרמב""ם",,יעקב יצחק רודרמן,קיידאן,,https://files.dicta.org.il/avodatlevi/avodatlevi__nikud_meteg_files.zip,https://files.dicta.org.il/avodatlevi/avodatlevi__ocr_data_html_files.zip,Yaakov Yitzchok Ruderman,avodatlevi,Avodat Levi
אגודת אזוב אורח חיים,Responsa,1885,aggudatezovorachchayim,Vilna,https://files.dicta.org.il/aggudatezovorachchayim/aggudatezovorachchayim__text_files.zip,"שו""ת",ספריית דיקטה,רבי משה זאב וולף מרגליות,וילנא,,https://files.dicta.org.il/aggudatezovorachchayim/aggudatezovorachchayim__nikud_meteg_files.zip,https://files.dicta.org.il/aggudatezovorachchayim/aggudatezovorachchayim__ocr_data_html_files.zip,Rabbi Moshe Ze'ev Wolf of Margaliot,aggudatezovorachchayim,Aggudat Ezov Orach Chayim
אגודת אזוב יורה דעה,Responsa,1885,aggudatezovyorehdeah,Vilna,https://files.dicta.org.il/aggudatezovyorehdeah/aggudatezovyorehdeah__text_files.zip,"שו""ת",ספריית דיקטה,רבי משה זאב וולף מרגליות,וילנא,,https://files.dicta.org.il/aggudatezovyorehdeah/aggudatezovyorehdeah__nikud_meteg_files.zip,https://files.dicta.org.il/aggudatezovyorehdeah/aggudatezovyorehdeah__ocr_data_html_files.zip,Rabbi Moshe Ze'ev Wolf of Margaliot,aggudatezovyorehdeah,Aggudat Ezov Yoreh Deah
אגרת התשובה,Mussar and Jewish Thought,1859,iggerethateshuvah,Chernovtsy,https://files.dicta.org.il/iggerethateshuvah/iggerethateshuvah__text_files.zip,מחשבה ומוסר,ספריית דיקטה,רבי יונה גירונדי,צ'רנוביץ,,https://files.dicta.org.il/iggerethateshuvah/iggerethateshuvah__nikud_meteg_files.zip,https://files.dicta.org.il/iggerethateshuvah/iggerethateshuvah__ocr_data_html_files.zip,Jonah ben Abraham Gerondi,iggerethateshuvah,Iggeret haTeshuvah
אגרת שמואל,Bible Commentaries,1895,iggeretshmuel,Munkatch,https://files.dicta.org.il/iggeretshmuel/iggeretshmuel__text_files.zip,"מפרשי התנ""ך",,רבי שמואל די אוזידא,מונקאטש,,https://files.dicta.org.il/iggeretshmuel/iggeretshmuel__nikud_meteg_files.zip,https://files.dicta.org.il/iggeretshmuel/iggeretshmuel__ocr_data_html_files.zip,Rabbi Shmuel de Uzeda,iggeretshmuel,Iggeret Shmuel
אהל אברהם,Responsa,1886,ohelavraham,Jerusalem,https://files.dicta.org.il/ohelavraham/ohelavraham__text_files.zip,"שו""ת",ספריית דיקטה,"צוובנר, אברהם בן יהודה ליב שאג",ירושלים,,https://files.dicta.org.il/ohelavraham/ohelavraham__nikud_meteg_files.zip,https://files.dicta.org.il/ohelavraham/ohelavraham__ocr_data_html_files.zip,Avraham Ben Yehudah Leib Shag Tzuber,ohelavraham,Ohel Avraham
