displayName,categoryEnglish,printYear,ocrFeDir,printLocationEnglish,textFileURL,category,source,author,printLocation,underwentBerelUnflagging,nikudMetegFileURL,OCRDataURL,authorEnglish,fileName,displayNameEnglish
בעלי הנפש,Halachah and Minhagim,1858,baaleihanefesh,Lemberg,https://files.dicta.org.il/baaleihanefesh/baaleihanefesh__text_files.zip,ספרי הלכה ומנהג,ספריית דיקטה,רבי אברהם בן דוד מפּוֹשְקְיֶרָה,לעמבערג,,https://files.dicta.org.il/baaleihanefesh/baaleihanefesh__nikud_meteg_files.zip,https://files.dicta.org.il/baaleihanefesh/baaleihanefesh__ocr_data_html_files.zip,Abraham ben David,baaleihanefesh,Ba’alei Ha-Nefesh
"בקע לגולגולת (שו""ך)",Commentaries on Shulchan Aruch,1884,bekalegulgoletshulchanaruch,Jerusalem,https://files.dicta.org.il/bekalegulgoletshulchanaruch/bekalegulgoletshulchanaruch__text_files.zip,מפרשים וחיבורים סביב שולחן ערוך,ספריית דיקטה,ר' אליהו אלמליח,ירושלים,,https://files.dicta.org.il/bekalegulgoletshulchanaruch/bekalegulgoletshulchanaruch__nikud_meteg_files.zip,https://files.dicta.org.il/bekalegulgoletshulchanaruch/bekalegulgoletshulchanaruch__ocr_data_html_files.zip,Rabbi Eliyahu Elmaleh,bekalegulgoletshulchanaruch,Beka Legulgolet (Shulchan Aruch)
בקע לגולגלת (ליקוטים),beurim likutim,1884,bekalegulgoletlikutim,Jerusalem,https://files.dicta.org.il/bekalegulgoletlikutim/bekalegulgoletlikutim__text_files.zip,ביאורים וליקוטים,ספריית דיקטה,ר' אליהו אלמליח,ירושלים,,https://files.dicta.org.il/bekalegulgoletlikutim/bekalegulgoletlikutim__nikud_meteg_files.zip,https://files.dicta.org.il/bekalegulgoletlikutim/bekalegulgoletlikutim__ocr_data_html_files.zip,Rabbi Eliyahu Elmaleh,bekalegulgoletlikutim,Beka Legulgole (likutim)
"בקע לגולגלת (ש""ס)",Acharonim on Talmud Bavli,1884,bekalegulgoleshas,Jerusalem,https://files.dicta.org.il/bekalegulgoleshas/bekalegulgoleshas__text_files.zip,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,ר' אליהו אלמליח,ירושלים,,https://files.dicta.org.il/bekalegulgoleshas/bekalegulgoleshas__nikud_meteg_files.zip,https://files.dicta.org.il/bekalegulgoleshas/bekalegulgoleshas__ocr_data_html_files.zip,Rabbi Eliyahu Elmaleh,bekalegulgoleshas,Beka Legulgole (shas)
"בקע לגולגלת )התנ""ך)",Bible Commentaries,1884,bekalegulgolettanach,Jerusalem,https://files.dicta.org.il/bekalegulgolettanach/bekalegulgolettanach__text_files.zip,"מפרשי תנ""ך)",ספריית דיקטה,ר' אליהו אלמליח,ירושלים,,https://files.dicta.org.il/bekalegulgolettanach/bekalegulgolettanach__nikud_meteg_files.zip,https://files.dicta.org.il/bekalegulgolettanach/bekalegulgolettanach__ocr_data_html_files.zip,Rabbi Eliyahu Elmaleh,bekalegulgolettanach,Beka Legulgolet (tanach)
ברוך טעם,Chiddushim by Topic,1902,baruchtaam_EGT,Lublin,https://files.dicta.org.il/baruchtaam/baruchtaam__text_files.zip,ספרי מערכות ועניינים,,ברוך תאומים-פרנקל,לובלין,,https://files.dicta.org.il/baruchtaam/baruchtaam__nikud_meteg_files.zip,https://files.dicta.org.il/baruchtaam/baruchtaam__ocr_data_html_files.zip,Boruch Franekl Teumim,baruchtaam,Baruch Ta’am
ברוך שאמר,Acharonim on Talmud Bavli,1905,baruchsheamar_EGT,פיטרקוב,https://files.dicta.org.il/baruchsheamar/baruchsheamar__text_files.zip,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,ברוך תאומים-פרנקל,פיטרקוב,,https://files.dicta.org.il/baruchsheamar/baruchsheamar__nikud_meteg_files.zip,https://files.dicta.org.il/baruchsheamar/baruchsheamar__ocr_data_html_files.zip,Baruch ben Yehoshua Yechezkel Feivel Fränkel-Te'omim,baruchsheamar,Baruch She’amar
ברית שלום (מגילות הגדה של פסח),Derashot,1925,britshalommegillothaggadahshelpesach,,https://files.dicta.org.il/britshalommegillothaggadahshelpesach/britshalommegillothaggadahshelpesach__text_files.zip,דרשות ודרושים,ספריית דיקטה,ר' פינחס בן פילטא,ברדיוב,,https://files.dicta.org.il/britshalommegillothaggadahshelpesach/britshalommegillothaggadahshelpesach__nikud_meteg_files.zip,https://files.dicta.org.il/britshalommegillothaggadahshelpesach/britshalommegillothaggadahshelpesach__ocr_data_html_files.zip,Rabbi Phinehas ben Filta,britshalommegillothaggadahshelpesach,Brit Shalom (megillot haggadah shel pesach)
ברכת אברהם,Responsa,1860,birkatavraham_EGT,,https://files.dicta.org.il/birkatavraham/birkatavraham__text_files.zip,"שו""ת",,"רבי אברהם בן הרמב""ם",ליק,,https://files.dicta.org.il/birkatavraham/birkatavraham__nikud_meteg_files.zip,https://files.dicta.org.il/birkatavraham/birkatavraham__ocr_data_html_files.zip,Abraham Maimonides,birkatavraham,Birkat Avraham
ברכת יהונתן,Commentaries on Shulchan Aruch,1902,birchatyonatan,Warsaw,https://files.dicta.org.il/birchatyonatan/birchatyonatan__text_files.zip,מפרשי השולחן ערוך,ספריית דיקטה,"אייבשיץ, יהונתן בן נתן נטע",ווארשא,,https://files.dicta.org.il/birchatyonatan/birchatyonatan__nikud_meteg_files.zip,https://files.dicta.org.il/birchatyonatan/birchatyonatan__ocr_data_html_files.zip,Jonathan Eybeschutz,birchatyonatan,Birchat Yonasan
בשמים ראש,Responsa,1874,besamimrosh,Lvov,https://files.dicta.org.il/besamimrosh/besamimrosh__text_files.zip,"שו""ת",,רבי שאול הלוי איש הורוויץ,לבוב,,https://files.dicta.org.il/besamimrosh/besamimrosh__nikud_meteg_files.zip,https://files.dicta.org.il/besamimrosh/besamimrosh__ocr_data_html_files.zip,Rabbi Shaul Halevi Horwitz,besamimrosh,Besamim Rosh
בת עין,Sifrei Chasidut,1869,batayin,Zhytomyr,https://files.dicta.org.il/batayin/batayin__text_files.zip,ספרי חסידות,ספריית דיקטה,ר' אברהם דוד מאבריטש,ז'יטומיר,,https://files.dicta.org.il/batayin/batayin__nikud_meteg_files.zip,https://files.dicta.org.il/batayin/batayin__ocr_data_html_files.zip,Rabbi Avraham David of Abritch,batayin,Bat Ayin
גבורות שלמה,Others,1902,gevurosshlomo,Lvov,https://files.dicta.org.il/gevurosshlomo/gevurosshlomo__text_files.zip,נושאים שונים,ספריית דיקטה,"קלוגר, שלמה בן יהודה אהרן",לבוב,,https://files.dicta.org.il/gevurosshlomo/gevurosshlomo__nikud_meteg_files.zip,https://files.dicta.org.il/gevurosshlomo/gevurosshlomo__ocr_data_html_files.zip,Solomon ben Judah Aaron Kluger,gevurosshlomo,Gevurot Shlomo
גבורות שמונים,Acharonim on Talmud Bavli,1930,gevurotshmonim,Warsaw,https://files.dicta.org.il/gevurotshmonim/gevurotshmonim__text_files.zip,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,"ענגיל, יוסף בן יהודה",ורשה,,https://files.dicta.org.il/gevurotshmonim/gevurotshmonim__nikud_meteg_files.zip,https://files.dicta.org.il/gevurotshmonim/gevurotshmonim__ocr_data_html_files.zip,Yosef Engel,gevurotshmonim,Gevurot Shmonim
גבורת ארי יומא,Shas Commentators,1907,gevuratariyoma_EGT,Piotrkow,https://files.dicta.org.il/gevuratariyoma/gevuratariyoma__text_files.zip,"מפרשי הש""ס",ספריית דיקטה,רבי אריה ליב גינזבורג,פיעטרקוב,,https://files.dicta.org.il/gevuratariyoma/gevuratariyoma__nikud_meteg_files.zip,https://files.dicta.org.il/gevuratariyoma/gevuratariyoma__ocr_data_html_files.zip,Aryeh Leib ben Asher Ginzburg,gevuratariyoma,Gevurat Ari Yoma
גבורת ארי מכות ביצה נזיר,Shas Commentators,1907,gevuratarimakkotbeitzahnazir_EGT,Piotrkow,https://files.dicta.org.il/gevuratarimakkotbeitzahnazir/gevuratarimakkotbeitzahnazir__text_files.zip,"מפרשי הש""ס",ספריית דיקטה,רבי אריה ליב גינזבורג,פיעטרקוב,,https://files.dicta.org.il/gevuratarimakkotbeitzahnazir/gevuratarimakkotbeitzahnazir__nikud_meteg_files.zip,https://files.dicta.org.il/gevuratarimakkotbeitzahnazir/gevuratarimakkotbeitzahnazir__ocr_data_html_files.zip,Aryeh Leib ben Asher Ginzburg,gevuratarimakkotbeitzahnazir,Gevurat Arן Makkot Beitzah Nazir
גבורת ארי תענית,Shas Commentators,1862,gevurataritaanit_EGT,Vilna,https://files.dicta.org.il/gevurataritaanit/gevurataritaanit__text_files.zip,"מפרשי הש""ס",ספריית דיקטה,רבי אריה ליב גינזבורג,ווילנא,,https://files.dicta.org.il/gevurataritaanit/gevurataritaanit__nikud_meteg_files.zip,https://files.dicta.org.il/gevurataritaanit/gevurataritaanit__ocr_data_html_files.zip,Aryeh Leib ben Asher Ginzburg,gevurataritaanit,Gevurat Ari Taanit
גבורת יהונתן,Derashot,1900,gevuratyonatan,Warsaw,https://files.dicta.org.il/gevuratyonatan/gevuratyonatan__text_files.zip,דרשות,ספריית דיקטה,"אייבשיץ, יהונתן בן נתן נטע",ווארשא,,https://files.dicta.org.il/gevuratyonatan/gevuratyonatan__nikud_meteg_files.zip,https://files.dicta.org.il/gevuratyonatan/gevuratyonatan__ocr_data_html_files.zip,Jonathan Eybeschutz,gevuratyonatan,Gevurat Yonatan
גושפנקא דמלכא (ליקוטים),likutim,1861,gushpankademalkalikutim,Levorno,https://files.dicta.org.il/gushpankademalkalikutim/gushpankademalkalikutim__text_files.zip,ליקוטים,ספריית דיקטה,ר' פארוז קרסינטי,ליוורנו,,https://files.dicta.org.il/gushpankademalkalikutim/gushpankademalkalikutim__nikud_meteg_files.zip,https://files.dicta.org.il/gushpankademalkalikutim/gushpankademalkalikutim__ocr_data_html_files.zip,Pariz Keresinti,gushpankademalkalikutim,Gushpanka De-Malka (likutim)
"גושפנקא דמלכא (רמב""ם)",Commentaries on the Rambam,1861,gushpankademalkarambam_EGT,Levorno,https://files.dicta.org.il/gushpankademalkarambam/gushpankademalkarambam__text_files.zip,"מפרשים וחיבורים על הרמב""ם",ספריית דיקטה,ר' פארוז קרסינטי,ליוורנו,,https://files.dicta.org.il/gushpankademalkarambam/gushpankademalkarambam__nikud_meteg_files.zip,https://files.dicta.org.il/gushpankademalkarambam/gushpankademalkarambam__ocr_data_html_files.zip,Pariz Keresinti,gushpankademalkarambam,Gushpanka De-Malka (Rambam)
"גושפנקא דמלכא (ש""ס)",Acharonim on Talmud Bavli,1861,gushpankademalkashas,Levorno,https://files.dicta.org.il/gushpankademalkashas/gushpankademalkashas__text_files.zip,"מפרש הש""ס )אחרונים",ספריית דיקטה,ר' פארוז קרסינטי,ליוורנו,,https://files.dicta.org.il/gushpankademalkashas/gushpankademalkashas__nikud_meteg_files.zip,https://files.dicta.org.il/gushpankademalkashas/gushpankademalkashas__ocr_data_html_files.zip,Pariz Keresinti,gushpankademalkashas,Gushpanka De-Malka (shas)
גושפנקא דמלכא דרשות,Derashot,1861,gushpankademalkaderashot,Levorno,https://files.dicta.org.il/gushpankademalkaderashot/gushpankademalkaderashot__text_files.zip,דרשות,ספריית דיקטה,ר' פארוז קרסינטי,ליוורנו,,https://files.dicta.org.il/gushpankademalkaderashot/gushpankademalkaderashot__nikud_meteg_files.zip,https://files.dicta.org.il/gushpankademalkaderashot/gushpankademalkaderashot__ocr_data_html_files.zip,Pariz Keresinti,gushpankademalkaderashot,Gushpanka De-Malka (Derashot)
"גליוני הש""ס מועד",Acharonim on Talmud Bavli,1909,gelyonihashasmoed,Vienna,https://files.dicta.org.il/gelyonihashasmoed/gelyonihashasmoed__text_files.zip,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,ר' יוסף ענגיל,וינה,,https://files.dicta.org.il/gelyonihashasmoed/gelyonihashasmoed__nikud_meteg_files.zip,https://files.dicta.org.il/gelyonihashasmoed/gelyonihashasmoed__ocr_data_html_files.zip,Rabbi Yosef Engil,gelyonihashasmoed,Gelyoni haShas Moed
גרש ירחים,Acharonim on Talmud Bavli,1869,gereshyerachim_EGT,Warsaw,https://files.dicta.org.il/gereshyerachim/gereshyerachim__text_files.zip,"מפרשי הש""ס (אחרונים)",ספריית דיקטה,הרב אריה לייב צינץ,ווארשא,,https://files.dicta.org.il/gereshyerachim/gereshyerachim__nikud_meteg_files.zip,https://files.dicta.org.il/gereshyerachim/gereshyerachim__ocr_data_html_files.zip,Aryeh Leib ben Moses Zuenz,gereshyerachim,Geresh Yerachim
דבר אברהם - א,Chiddushim by Topic,1906,dvaravraham1,Warsaw,https://files.dicta.org.il/dvaravraham1/dvaravraham1__text_files.zip,ספרי מערכות ועניינים,ספריית דיקטה,ר' אברהם כהנא שפירא,ורשא,,https://files.dicta.org.il/dvaravraham1/dvaravraham1__nikud_meteg_files.zip,https://files.dicta.org.il/dvaravraham1/dvaravraham1__ocr_data_html_files.zip,Rabbi Avraham Dov-Ber Kahana Shapiro,dvaravraham1,Dvar Avraham part 1
דבר אברהם - ב,Chiddushim by Topic,1906,dvaravraham2,Warsaw,https://files.dicta.org.il/dvaravraham2/dvaravraham2__text_files.zip,ספרי מערכות ועניינים,ספריית דיקטה,ר' אברהם כהנא שפירא,ורשא,,https://files.dicta.org.il/dvaravraham2/dvaravraham2__nikud_meteg_files.zip,https://files.dicta.org.il/dvaravraham2/dvaravraham2__ocr_data_html_files.zip,Rabbi Avraham Dov-Ber Kahana Shapiro,dvaravraham2,Dvar Avraham part 2
דבר אברהם - ג,Chiddushim by Topic,1906,dvaravraham3,Warsaw,https://files.dicta.org.il/dvaravraham3/dvaravraham3__text_files.zip,ספרי מערכות ועניינים,ספריית דיקטה,ר' אברהם כהנא שפירא,ורשא,,https://files.dicta.org.il/dvaravraham3/dvaravraham3__nikud_meteg_files.zip,https://files.dicta.org.il/dvaravraham3/dvaravraham3__ocr_data_html_files.zip,Rabbi Avraham Dov-Ber Kahana Shapiro,dvaravraham3,Dvar Avraham part 3
דברי דוד,,1886,divredavid,Vilna,https://files.dicta.org.il/divredavid/divredavid__text_files.zip,,,,ווילנא,,https://files.dicta.org.il/divredavid/divredavid__nikud_meteg_files.zip,https://files.dicta.org.il/divredavid/divredavid__ocr_data_html_files.zip,,divredavid,Divrei David
דברי דוד טורי זהב חלק א,Bible Commentaries,1882,divredavidtureizahav1_EGT,Warsaw,https://files.dicta.org.il/divredavidtureizahav1/divredavidtureizahav1__text_files.zip,"מפרשי התנ""ך",ספריית דיקטה,דוד הלוי סגל,ווארשא,,https://files.dicta.org.il/divredavidtureizahav1/divredavidtureizahav1__nikud_meteg_files.zip,https://files.dicta.org.il/divredavidtureizahav1/divredavidtureizahav1__ocr_data_html_files.zip,David ha-Levi Segal,divredavidtureizahav1,Divre David Turei Zahav part 1
דברי דוד טורי זהב חלק ב,Bible Commentaries,1882,divredavidtureizahav2_EGT,Warsaw,https://files.dicta.org.il/divredavidtureizahav2/divredavidtureizahav2__text_files.zip,"מפרשי התנ""ך",ספריית דיקטה,דוד הלוי סגל,ווארשא,,https://files.dicta.org.il/divredavidtureizahav2/divredavidtureizahav2__nikud_meteg_files.zip,https://files.dicta.org.il/divredavidtureizahav2/divredavidtureizahav2__ocr_data_html_files.zip,David ha-Levi Segal,divredavidtureizahav2,Divre David Turei Zahav part 2
דברי חיים חלק א,Responsa,1875,divreichaim1,Krakow,https://files.dicta.org.il/divreichaim1/divreichaim1__text_files.zip,"שו""ת",ספריית דיקטה,רבי חיים הלברשטאם,קרקוב,,https://files.dicta.org.il/divreichaim1/divreichaim1__nikud_meteg_files.zip,https://files.dicta.org.il/divreichaim1/divreichaim1__ocr_data_html_files.zip,rabbi chaim halberstam,divreichaim1,Divrei Chaim part 1
דברי חיים חלק ב,Responsa,1875,divreichaim2_EGT,Krakow,https://files.dicta.org.il/divreichaim2/divreichaim2__text_files.zip,"שו""ת",ספריית דיקטה,רבי חיים הלברשטאם,קרקוב,,https://files.dicta.org.il/divreichaim2/divreichaim2__nikud_meteg_files.zip,https://files.dicta.org.il/divreichaim2/divreichaim2__ocr_data_html_files.zip,rabbi chaim halberstam,divreichaim2,Divrei Chaim part 2
דברי חלומות,Sifrei Chasidut,1903,divreichalomot_EGT,Lublin,https://files.dicta.org.il/divreichalomot/divreichalomot__text_files.zip,ספרי חסידות,ספריית דיקטה,ר' צדוק הכהן,לובלין,,https://files.dicta.org.il/divreichalomot/divreichalomot__nikud_meteg_files.zip,https://files.dicta.org.il/divreichalomot/divreichalomot__ocr_data_html_files.zip,Rabbi Zadok HaCohen,divreichalomot,Divrei Chalomot
דברי חן חלק א,Commentaries on the Rambam,1904,divreihen1_EGT,Piotrkov,https://files.dicta.org.il/divreihen1/divreihen1__text_files.zip,"מפרשים וחיבורים על הרמב""ם",,רבי חיים בן אברהם נתנזון,פיוטרקוב,,https://files.dicta.org.il/divreihen1/divreihen1__nikud_meteg_files.zip,https://files.dicta.org.il/divreihen1/divreihen1__ocr_data_html_files.zip,"Natenzohn, Hayim",divreihen1,Divrei Hen part 1
דברי יוסף,Responsa,1947,divreiyosef_EGT,New York,https://files.dicta.org.il/divreiyosef/divreiyosef__text_files.zip,"שו""ת",ספריית דיקטה,רבי יוסף קאנוויץ,ניו יורק,,https://files.dicta.org.il/divreiyosef/divreiyosef__nikud_meteg_files.zip,https://files.dicta.org.il/divreiyosef/divreiyosef__ocr_data_html_files.zip,Josef Konvitz,divreiyosef,Divrei Yosef
דברי מלכיאל א,Responsa,1891,divreimalkiel1_EGT,Vilna,https://files.dicta.org.il/divreimalkiel1/divreimalkiel1__text_files.zip,"שו""ת",ספריית דיקטה,רבי מלכיאל צבי טננבוים,וילנא,,https://files.dicta.org.il/divreimalkiel1/divreimalkiel1__nikud_meteg_files.zip,https://files.dicta.org.il/divreimalkiel1/divreimalkiel1__ocr_data_html_files.zip,Malkiel Tzvi Tenenbaum,divreimalkiel1,Divrei Malkiel Vol 1
דברי מלכיאל ב,Responsa,1891,divreimalkiel2_EGT,Vilna,https://files.dicta.org.il/divreimalkiel2/divreimalkiel2__text_files.zip,"שו""ת",ספריית דיקטה,רבי מלכיאל צבי טננבוים,וילנא,,https://files.dicta.org.il/divreimalkiel2/divreimalkiel2__nikud_meteg_files.zip,https://files.dicta.org.il/divreimalkiel2/divreimalkiel2__ocr_data_html_files.zip,Malkiel Tzvi Tenenbaum,divreimalkiel2,Divrei Malkiel Vol 2
דברי מלכיאל ג,Responsa,1901,divreimalkiel3_EGT,Vilna,https://files.dicta.org.il/divreimalkiel3/divreimalkiel3__text_files.zip,"שו""ת",ספריית דיקטה,רבי מלכיאל צבי טננבוים,וילנא,,https://files.dicta.org.il/divreimalkiel3/divreimalkiel3__nikud_meteg_files.zip,https://files.dicta.org.il/divreimalkiel3/divreimalkiel3__ocr_data_html_files.zip,Malkiel Tzvi Tenenbaum,divreimalkiel3,Divrei Malkiel Vol 3
דברי מלכיאל ד,Responsa,1904,divreimalkiel4_EGT,Peterkov,https://files.dicta.org.il/divreimalkiel4/divreimalkiel4__text_files.zip,"שו""ת",ספריית דיקטה,רבי מלכיאל צבי טננבוים,פיעטרקוב,,https://files.dicta.org.il/divreimalkiel4/divreimalkiel4__nikud_meteg_files.zip,https://files.dicta.org.il/divreimalkiel4/divreimalkiel4__ocr_data_html_files.zip,Malkiel Tzvi Tenenbaum,divreimalkiel4,Divrei Malkiel Vol 4
דברי מלכיאל ה,Responsa,1909,divreimalkiel5_EGT,Peterkov,https://files.dicta.org.il/divreimalkiel5/divreimalkiel5__text_files.zip,"שו""ת",ספריית דיקטה,רבי מלכיאל צבי טננבוים,פיעטרקוב,,https://files.dicta.org.il/divreimalkiel5/divreimalkiel5__nikud_meteg_files.zip,https://files.dicta.org.il/divreimalkiel5/divreimalkiel5__ocr_data_html_files.zip,Malkiel Tzvi Tenenbaum,divreimalkiel5,Divrei Malkiel Vol 5
דברי נחמיה אבן נזר,Responsa,1866,divreinechemyahevenhaezer,Vilna,https://files.dicta.org.il/divreinechemyahevenhaezer/divreinechemyahevenhaezer__text_files.zip,"שו""ת",ספריית דיקטה,הרב נחמיה הלוי בירך גינזבורג מדוברובנה,וילנה,,https://files.dicta.org.il/divreinechemyahevenhaezer/divreinechemyahevenhaezer__nikud_meteg_files.zip,https://files.dicta.org.il/divreinechemyahevenhaezer/divreinechemyahevenhaezer__ocr_data_html_files.zip,R. Nehemiah ha-Levi Ginzburg,divreinechemyahevenhaezer,Divrei Nechemyah Even Haezer
דברי נחמיה אורח חיים,Responsa,1869,divreinechemyahorachchaim,Vilna,https://files.dicta.org.il/divreinechemyahorachchaim/divreinechemyahorachchaim__text_files.zip,"שו""ת",ספריית דיקטה,הרב נחמיה הלוי בירך גינזבורג מדוברובנה,וילנה,,https://files.dicta.org.il/divreinechemyahorachchaim/divreinechemyahorachchaim__nikud_meteg_files.zip,https://files.dicta.org.il/divreinechemyahorachchaim/divreinechemyahorachchaim__ocr_data_html_files.zip,R. Nehemiah ha-Levi Ginzburg,divreinechemyahorachchaim,Divrei Nechemyah Orach Chaim
דברי נחמיה יורה דעה,Responsa,1869,divreinechemyahyorehdeah,Vilna,https://files.dicta.org.il/divreinechemyahyorehdeah/divreinechemyahyorehdeah__text_files.zip,"שו""ת",ספריית דיקטה,הרב נחמיה הלוי בירך גינזבורג מדוברובנה,וילנה,,https://files.dicta.org.il/divreinechemyahyorehdeah/divreinechemyahyorehdeah__nikud_meteg_files.zip,https://files.dicta.org.il/divreinechemyahyorehdeah/divreinechemyahyorehdeah__ocr_data_html_files.zip,R. Nehemiah ha-Levi Ginzburg,divreinechemyahyorehdeah,Divrei Nechemyah Yoreh Deah
דברי סופרים,Sifrei Chasidut,1913,divreisofrim,Lublin,https://files.dicta.org.il/divreisofrim/divreisofrim__text_files.zip,ספרי חסידות,ספריית דיקטה,ר' צדוק הכהן,לובלין,,https://files.dicta.org.il/divreisofrim/divreisofrim__nikud_meteg_files.zip,https://files.dicta.org.il/divreisofrim/divreisofrim__ocr_data_html_files.zip,Rabbi Zadok HaCohen,divreisofrim,Divrei Sofrim
דברי ריבות,Responsa,1833,divreirivot_EGT,,https://files.dicta.org.il/divreirivot/divreirivot__text_files.zip,"שו""ת",,רבי יצחק בן שמואל אדרבי,סדילקוב,,https://files.dicta.org.il/divreirivot/divreirivot__nikud_meteg_files.zip,https://files.dicta.org.il/divreirivot/divreirivot__ocr_data_html_files.zip,Isaac Adarbi,divreirivot,Divrei Rivot
דבש תמר - א (תורה),Bible Commentaries,1897,devashtamartoreh,Warsaw,https://files.dicta.org.il/devashtamartoreh/devashtamartoreh__text_files.zip,"מפרשי תנ""ך",ספריית דיקטה,ר' דוד טיטלבוים,וורשה,,https://files.dicta.org.il/devashtamartoreh/devashtamartoreh__nikud_meteg_files.zip,https://files.dicta.org.il/devashtamartoreh/devashtamartoreh__ocr_data_html_files.zip,Dovid bar Shlomo Teitelbaum,devashtamartoreh,Devash Tamar (Toreh)
"דבש תמר - ב (פירוש המשניות להרמב""ם)",Commentaries on Mishnah,1897,devashtamarhanshnayotleahrmbam,Warsaw,https://files.dicta.org.il/devashtamarhanshnayotleahrmbam/devashtamarhanshnayotleahrmbam__text_files.zip,מפרשי המשנה,ספריית דיקטה,ר' דוד טיטלבוים,וורשה,,https://files.dicta.org.il/devashtamarhanshnayotleahrmbam/devashtamarhanshnayotleahrmbam__nikud_meteg_files.zip,https://files.dicta.org.il/devashtamarhanshnayotleahrmbam/devashtamarhanshnayotleahrmbam__ocr_data_html_files.zip,Dovid bar Shlomo Teitelbaum,devashtamarhanshnayotleahrmbam,Devash Tamar (hamishnayot Rmbam)
"דבש תמר - ב (רא""ש )",Acharonim on Talmud_Bavli,1897,devashtamarrosh,Warsaw,https://files.dicta.org.il/devashtamarrosh/devashtamarrosh__text_files.zip,"מפרשי הש""ס",ספריית דיקטה,ר' דוד טיטלבוים,וורשה,,https://files.dicta.org.il/devashtamarrosh/devashtamarrosh__nikud_meteg_files.zip,https://files.dicta.org.il/devashtamarrosh/devashtamarrosh__ocr_data_html_files.zip,Dovid bar Shlomo Teitelbaum,devashtamarrosh,Devash Tamar (Rosh)
"דבש תמר - ב (רמב""ם)",Commentaries on the Rambam,1897,devashtamarrambam_EGT,Warsaw,https://files.dicta.org.il/devashtamarrambam/devashtamarrambam__text_files.zip,"מפרשים וחיבורים על הרמב""ם",ספריית דיקטה,ר' דוד טיטלבוים,וורשה,,https://files.dicta.org.il/devashtamarrambam/devashtamarrambam__nikud_meteg_files.zip,https://files.dicta.org.il/devashtamarrambam/devashtamarrambam__ocr_data_html_files.zip,Dovid bar Shlomo Teitelbaum,devashtamarrambam,Devash Tamar (Rambam)
דובר צדק,Sifrei Chasidut,1911,dovertzedek,Pyotrikov,https://files.dicta.org.il/dovertzedek/dovertzedek__text_files.zip,ספרי חסידות,ספריית דיקטה,ר' צדוק הכהן,פיוטריקוב,,https://files.dicta.org.il/dovertzedek/dovertzedek__nikud_meteg_files.zip,https://files.dicta.org.il/dovertzedek/dovertzedek__ocr_data_html_files.zip,Rabbi Zadok HaCohen,dovertzedek,Dover Tzedek
"דעת תורה יו""ד חלק א",Commentaries on Shulchan Aruch,1891,daastorahschwadronyorehdeah1,Warsaw,https://files.dicta.org.il/daastorahschwadronyorehdeah1/daastorahschwadronyorehdeah1__text_files.zip,מפרשי שולחן ערוך,ספריית דיקטה,רבי שלום מרדכי שבדרון,Lʹviv,,https://files.dicta.org.il/daastorahschwadronyorehdeah1/daastorahschwadronyorehdeah1__nikud_meteg_files.zip,https://files.dicta.org.il/daastorahschwadronyorehdeah1/daastorahschwadronyorehdeah1__ocr_data_html_files.zip,Shalom Mordechai Schwadron,daastorahschwadronyorehdeah1,Daas Torah Yoreh Deah part 1
דרך החיים,Halachah and Minhagim,1891,derechchaim,Premishla,https://files.dicta.org.il/derechchaim/derechchaim__text_files.zip,ספרי הלכה ומנהג,,רבי יעקב בן יעקב משה לורברבוים,פרעמישלא,,https://files.dicta.org.il/derechchaim/derechchaim__nikud_meteg_files.zip,https://files.dicta.org.il/derechchaim/derechchaim__ocr_data_html_files.zip,rabbi Yaakov ben Yaakov Moshe Lorberbaum of Lissa,derechchaim,Derech Chaim
דרך המלך (חוידנובסקי),Commentaries on the Rambam,1929,derekhhamelekhchoidanski_EGT,Kaidan,https://files.dicta.org.il/derekhhamelekhchoidanski/derekhhamelekhchoidanski__text_files.zip,"מפרשים וחיבורים על הרמב""ם",ספריית דיקטה,ר' חיים יעקב חוידנסקי,קיידאן,,https://files.dicta.org.il/derekhhamelekhchoidanski/derekhhamelekhchoidanski__nikud_meteg_files.zip,https://files.dicta.org.il/derekhhamelekhchoidanski/derekhhamelekhchoidanski__ocr_data_html_files.zip,"Chevyodanski, Chaim Yaakov",derekhhamelekhchoidanski,Derekh Hamelekh (Choidanski)
דרך פקודיך,Sifrei Mitzvot,1914,derechpikudecha,Lviv,https://files.dicta.org.il/derechpikudecha/derechpikudecha__text_files.zip,ספרי המצוות ומפרשיהם,,"שפירא, צבי אלימלך בן פסח, מדינוב,",לבוב,,https://files.dicta.org.il/derechpikudecha/derechpikudecha__nikud_meteg_files.zip,https://files.dicta.org.il/derechpikudecha/derechpikudecha__ocr_data_html_files.zip,"Dynow, Zevi Elimelech",derechpikudecha,Derech Pikudecha
