Column1,Column2,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23
אבן עזרא על עובדיה,ראשונים,,,,,,,,,,,,,,,,,,,
אבן עזרא על עזרא,ראשונים,,,,,,,,,,,,,,,,,,,
אבן עזרא על עמוס,ראשונים,,,,,,,,,,,,,,,,,,,
אבן עזרא על צפניה,ראשונים,,,,,,,,,,,,,,,,,,,
אבן עזרא על קהלת,ראשונים,,,,,,,,,,,,,,,,,,,
אבן עזרא על רות,ראשונים,,,,,,,,,,,,,,,,,,,
אבן עזרא על שיר השירים,ראשונים,,,,,,,,,,,,,,,,,,,
אבן עזרא על שמות,ראשונים,,,,,,,,,,,,,,,,,,,
אבן עזרא על שמות; פירוש הקצר,ראשונים,,,,,,,,,,,,,,,,,,,
אבן עזרא על תהילים,ראשונים,,,,,,,,,,,,,,,,,,,
אבני האפוד,אחרונים,,,,,,,,,,,,,,,,,,,
אבני נזר אבן העזר,אחרונים,,,,,,,,,,,,,,,,,,,
אבני נזר אורח חיים,אחרונים,,,,,,,,,,,,,,,,,,,
אבני נזר חושן משפט,אחרונים,,,,,,,,,,,,,,,,,,,
אבני נזר יורה דעה,אחרונים,,,,,,,,,,,,,,,,,,,
אבני שיש חלק ב,אחרונים,,,,,,,,,,,,,,,,,,,
אבקת רוכל,אחרונים,,,,,,,,,,,,,,,,,,,
אברבנאל על הושע,ראשונים,,,,,,,,,,,,,,,,,,,
אברבנאל על זכריה,ראשונים,,,,,,,,,,,,,,,,,,,
אברבנאל על חבקוק,ראשונים,,,,,,,,,,,,,,,,,,,
אברבנאל על חגי,ראשונים,,,,,,,,,,,,,,,,,,,
אברבנאל על יהושע,ראשונים,,,,,,,,,,,,,,,,,,,
אברבנאל על יואל,ראשונים,,,,,,,,,,,,,,,,,,,
אברבנאל על יונה,ראשונים,,,,,,,,,,,,,,,,,,,
אברבנאל על יחזקאל,ראשונים,,,,,,,,,,,,,,,,,,,
אברבנאל על ירמיהו,ראשונים,,,,,,,,,,,,,,,,,,,
אברבנאל על ישעיהו,ראשונים,,,,,,,,,,,,,,,,,,,
אברבנאל על מורה נבוכים,ראשונים,,,,,,,,,,,,,,,,,,,
אברבנאל על מיכה,ראשונים,,,,,,,,,,,,,,,,,,,
אברבנאל על מלאכי,ראשונים,,,,,,,,,,,,,,,,,,,
אברבנאל על מלכים א,ראשונים,,,,,,,,,,,,,,,,,,,
אברבנאל על מלכים ב,ראשונים,,,,,,,,,,,,,,,,,,,
אברבנאל על נחום,ראשונים,,,,,,,,,,,,,,,,,,,
אברבנאל על עובדיה,ראשונים,,,,,,,,,,,,,,,,,,,
אברבנאל על עמוס,ראשונים,,,,,,,,,,,,,,,,,,,
אברבנאל על צפניה,ראשונים,,,,,,,,,,,,,,,,,,,
