ליקוטי מוהרן קמא לפי ימי החודש,חסידות\ברסלב,,,,,יש עניין?,,,,,,,
ליקוטי מוהרן תנינא לפי ימי החודש,חסידות\ברסלב,,,,,יש עניין?,,,,,,,
ליקוטי עצות,חסידות\ברסלב,,,,,קיים,,,,,,,
ליקוטי תפילות - קמא,חסידות\ברסלב,,,,,קיים בחלק אחד,,,,,,,
ליקוטי תפילות - תניינא,חסידות\ברסלב,,,,,קיים בחלק אחד,,,,,,,
משיבת נפש,חסידות\ברסלב,,,,,קיים בדיקטה ב2 חלקים,,,,,,,
סֵפֶר הַמִּדּוֹת,חסידות\ברסלב,,,,,קיים,,,,,,,
סֵפֶר עֵצוֹת יְשָׁרוֹת,חסידות\ברסלב,,,,,?,,,,,,,
סֵפֶר שְׁמוֹת הַצַּדִּיקִים,חסידות\ברסלב,,,,,?,,,,,,,
סֵפֶר שִׂמְחַת הַנֶּפֶשׁ,חסידות\ברסלב,,,,,?,,,,,,,
סיפורי מעשיות,חסידות\ברסלב,,,,,קיים,,,,,,,
ספר המידות,חסידות\ברסלב,,,,,קיים,,,,,,,
עלים לתרופה,חסידות\ברסלב,,,,,,,,,,,,
פרפראות לחכמה,חסידות\ברסלב,,,,,,,,,,,,
קיצור ליקוטי מוהרן תנינא,חסידות\ברסלב,,,,,?,,,,,,,
קיצור ליקוטי מוהרן,חסידות\ברסלב,,,,,?,,,,,,,
שבחי הר'ן,חסידות\ברסלב,,,,,קיים,,,,,,,
שיחות הר'ן,חסידות\ברסלב,,,,,קיים,,,,,,,
שיחת נפש,חסידות\ברסלב,,,,,?,,,,,,,
תוך הנחל,חסידות\ברסלב,,,,,?,,,,,,,
חלק ראשון,חסידות\ברסלב\ארץ ישראל,,,,,?,,,,,,,
חלק שני,חסידות\ברסלב\ארץ ישראל,,,,,?,,,,,,,
חושן משפט חלק א,חסידות\ברסלב\לִקּוּטֵי הֲלָכוֹת,,,,,קיים בחלק אחד,"אולי יש מעלה בניקוד, אולי. וודאי שאין להם את קישורי ספריא",,,,,,
