שם בעברית,שם באנגלית,כשר\לא,קטגוריות
מראות הצובאות על יהושע,Marot HaTzoveot on Joshua,,תנך,ראשונים על התנ״ך,אלשיך,נביאים
מראות הצובאות על שופטים,Marot HaTzoveot on Judges,,תנך,ראשונים על התנ״ך,אלשיך,נביאים
מראות הצובאות על שמואל א,Marot HaTzoveot on I Samuel,,תנך,ראשונים על התנ״ך,אלשיך,נביאים
מראות הצובאות על שמואל ב,Marot HaTzoveot on II Samuel,,תנך,ראשונים על התנ״ך,אלשיך,נביאים
מראות הצובאות על מלכים א,Marot HaTzoveot on I Kings,,תנך,ראשונים על התנ״ך,אלשיך,נביאים
מראות הצובאות על מלכים ב,Marot HaTzoveot on II Kings,,תנך,ראשונים על התנ״ך,אלשיך,נביאים
אור לישרים על תלמוד ירושלמי יומא,Ohr LaYesharim on Jerusalem Talmud Yoma,,תלמוד,ירושלמי,פירושים מודרניים על התלמוד,אור לישרים על תלמוד ירושלמי
