שם ספר,דור,קטגוריה,נתיב הספר,,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות ברכות",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר אהבה\אבן האזל על משנה תורה, הלכות ברכות.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות גזילה ואבידה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר נזיקין\אבן האזל על משנה תורה, הלכות גזילה ואבידה.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות גירושין",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר נשים\אבן האזל על משנה תורה, הלכות גירושין.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות גניבה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר נזיקין\אבן האזל על משנה תורה, הלכות גניבה.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות דעות",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר מדע\אבן האזל על משנה תורה, הלכות דעות.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות זכייה ומתנה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר קניין\אבן האזל על משנה תורה, הלכות זכייה ומתנה.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות חגיגה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר קורבנות\אבן האזל על משנה תורה, הלכות חגיגה.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות חובל ומזיק",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר נזיקין\אבן האזל על משנה תורה, הלכות חובל ומזיק.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות חמץ ומצה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר זמנים\אבן האזל על משנה תורה, הלכות חמץ ומצה.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות טוען ונטען",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר משפטים\אבן האזל על משנה תורה, הלכות טוען ונטען.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות יבום וחליצה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר נשים\אבן האזל על משנה תורה, הלכות יבום וחליצה.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות יסודי התורה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר מדע\אבן האזל על משנה תורה, הלכות יסודי התורה.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות כלי המקדש והעובדין בו",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר עבודה\אבן האזל על משנה תורה, הלכות כלי המקדש והעובדין בו.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות מאכלות אסורות",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר קדושה\אבן האזל על משנה תורה, הלכות מאכלות אסורות.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות מגילה וחנוכה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר זמנים\אבן האזל על משנה תורה, הלכות מגילה וחנוכה.txt",,,,,,,,,,,,,,,,,,,
"אבן האזל על משנה תורה, הלכות מחוסרי כפרה",אחרונים,הלכה,"הלכה\משנה תורה\מפרשים\אבן האזל\ספר קורבנות\אבן האזל על משנה תורה, הלכות מחוסרי כפרה.txt",,,,,,,,,,,,,,,,,,,
