ref,line_index
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Introduction; The Transformative Power of Ideas 1",5
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Introduction; The Transformative Power of Ideas 2",6
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Introduction; The Transformative Power of Ideas 3",7
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Introduction; The Transformative Power of Ideas 4",8
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Introduction; The Transformative Power of Ideas 5",9
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Introduction; The Transformative Power of Ideas 6",10
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Introduction; The Transformative Power of Ideas 7",11
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Introduction; The Transformative Power of Ideas 8",12
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Introduction; The Transformative Power of Ideas 9",13
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Introduction; The Transformative Power of Ideas 10",14
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Introduction; The Transformative Power of Ideas 11",15
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Introduction; The Transformative Power of Ideas 12",16
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Introduction; The Transformative Power of Ideas 13",17
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Introduction; The Transformative Power of Ideas 14",18
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Introduction; The Transformative Power of Ideas 15",19
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Introduction; The Transformative Power of Ideas 16",20
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Introduction; The Transformative Power of Ideas 17",21
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Introduction; The Transformative Power of Ideas 18",22
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Introduction; The Transformative Power of Ideas 19",23
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Introduction; The Transformative Power of Ideas 20",24
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Introduction; The Transformative Power of Ideas 21",25
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Introduction; The Transformative Power of Ideas 22",26
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Introduction; The Transformative Power of Ideas 23",27
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Introduction; The Transformative Power of Ideas 24",28
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Introduction; The Transformative Power of Ideas 25",29
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Introduction; The Transformative Power of Ideas 26",30
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Introduction; The Transformative Power of Ideas 27",31
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Introduction; The Transformative Power of Ideas 28",32
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Introduction; The Transformative Power of Ideas 29",33
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Introduction; The Transformative Power of Ideas 30",34
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Introduction; The Transformative Power of Ideas 31",35
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Bereshit; The Faith of God 1",37
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Bereshit; The Faith of God 2",38
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Bereshit; The Faith of God 3",39
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Bereshit; The Faith of God 4",40
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Bereshit; The Faith of God 5",41
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Bereshit; The Faith of God 6",42
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Bereshit; The Faith of God 7",43
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Bereshit; The Faith of God 8",44
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Bereshit; The Faith of God 9",45
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Bereshit; The Faith of God 10",46
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Bereshit; The Faith of God 11",47
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Bereshit; The Faith of God 12",48
"Judaism's Life Changing Ideas; A Weekly Reading of the Jewish Bible, Bereshit; The Faith of God 13",49
